osmid,y,x,highway,street_count,ref,junction,railway,geometry
108191737,-12.1247796,-77.0279301,traffic_signals,4,,,,POINT (-77.0279301 -12.1247796)
108191738,-12.1249385,-77.0269052,traffic_signals,4,,,,POINT (-77.0269052 -12.1249385)
108191739,-12.1250987,-77.0259423,,4,,,,POINT (-77.0259423 -12.1250987)
108191740,-12.1253462,-77.0244399,traffic_signals,4,,,,POINT (-77.0244399 -12.1253462)
108191741,-12.12544,-77.0238773,traffic_signals,4,,,,POINT (-77.0238773 -12.12544)
108191742,-12.1254749,-77.0236509,,3,,,,POINT (-77.0236509 -12.1254749)
108191743,-12.1257449,-77.0219502,,4,,,,POINT (-77.0219502 -12.1257449)
108191744,-12.1258713,-77.0210801,,4,,,,POINT (-77.0210801 -12.1258713)
108191745,-12.1260021,-77.0202573,,4,,,,POINT (-77.0202573 -12.1260021)
108191746,-12.126204,-77.0189507,,4,,,,POINT (-77.0189507 -12.126204)
108191747,-12.1263295,-77.0181137,traffic_signals,5,,,,POINT (-77.0181137 -12.1263295)
108193635,-12.1224665,-77.0313429,traffic_signals,4,,,,POINT (-77.0313429 -12.1224665)
108193650,-12.1276021,-77.0361476,,3,,,,POINT (-77.0361476 -12.1276021)
108215804,-12.1028551,-77.0463617,,3,,,,POINT (-77.0463617 -12.1028551)
108215811,-12.100471,-77.0511016,,3,,,,POINT (-77.0511016 -12.100471)
108215859,-12.1043623,-77.0399284,,3,,,,POINT (-77.0399284 -12.1043623)
108215860,-12.1042362,-77.0404948,,3,,,,POINT (-77.0404948 -12.1042362)
108215862,-12.1039721,-77.0415953,,4,,,,POINT (-77.0415953 -12.1039721)
108215864,-12.1037887,-77.0424399,,4,,,,POINT (-77.0424399 -12.1037887)
108215865,-12.1035836,-77.0433127,,4,,,,POINT (-77.0433127 -12.1035836)
108215866,-12.1033911,-77.0441477,,3,,,,POINT (-77.0441477 -12.1033911)
108215867,-12.1030609,-77.0456133,,4,,,,POINT (-77.0456133 -12.1030609)
108217792,-12.1029392,-77.04135,,3,,,,POINT (-77.04135 -12.1029392)
108217795,-12.1027559,-77.0422003,,3,,,,POINT (-77.0422003 -12.1027559)
108217796,-12.1025596,-77.0430866,,3,,,,POINT (-77.0430866 -12.1025596)
108218710,-12.0979183,-77.0350363,,3,,,,POINT (-77.0350363 -12.0979183)
108218712,-12.0986785,-77.0352748,,3,,,,POINT (-77.0352748 -12.0986785)
108218713,-12.0991659,-77.0354129,traffic_signals,4,,,,POINT (-77.0354129 -12.0991659)
108218714,-12.0996656,-77.0354904,,3,,,,POINT (-77.0354904 -12.0996656)
108218715,-12.1006224,-77.0357163,,4,,,,POINT (-77.0357163 -12.1006224)
108218716,-12.1036554,-77.0360726,,3,,,,POINT (-77.0360726 -12.1036554)
108218717,-12.1041543,-77.0361301,,3,,,,POINT (-77.0361301 -12.1041543)
108218719,-12.1047379,-77.0362068,,3,,,,POINT (-77.0362068 -12.1047379)
108218720,-12.1051903,-77.0362631,,3,,,,POINT (-77.0362631 -12.1051903)
108218722,-12.1062931,-77.0362618,,4,,,,POINT (-77.0362618 -12.1062931)
108218723,-12.1072186,-77.0364677,,4,,,,POINT (-77.0364677 -12.1072186)
108219936,-12.1018376,-77.0338258,,4,,,,POINT (-77.0338258 -12.1018376)
108220306,-12.1020383,-77.0297117,,3,,,,POINT (-77.0297117 -12.1020383)
108220567,-12.1009869,-77.0298912,,4,,,,POINT (-77.0298912 -12.1009869)
108220568,-12.1014742,-77.0297989,,3,,,,POINT (-77.0297989 -12.1014742)
